"","2,5,6,8NOT ","2,5,6,9NOT ","3,5,6,8NOT ","3,5,6,9NOT "," NOT2,3,5,6,8,9","2,5,6NOT8","2,5,6NOT9","3,5,6NOT8","3,5,6NOT9","2,5,8NOT6","2,5,9NOT6","3,5,8NOT6","3,5,9NOT6","2,6,8NOT5","2,6,9NOT5","3,6,8NOT5","3,6,9NOT5","5,6,8NOT2","5,6,9NOT2","5,6,8NOT3","5,6,9NOT3","2,5,NOT6,8","2,5,NOT6,9","3,5,NOT6,8","3,5,NOT6,9","2,6NOT5,8","2,6NOT5,9","3,6NOT5,8","3,6NOT5,9","2,8NOT5,6","2,9NOT5,6","3,8NOT5,6","3,9NOT5,6","5,6NOT2,8","5,6NOT2,9","5,6NOT3,8","5,6NOT3,9","5,8NOT2,6","5,9NOT2,6","5,8NOT3,6","5,9NOT3,6","6,8NOT2,5","6,9NOT2,5","6,8NOT3,5","6,9NOT3,5","2NOT5,6,8","2NOT5,6,9","3NOT5,6,8","3NOT5,6,9","5NOT2,6,8","5NOT2,6,9","5NOT3,6,8","5NOT3,6,9","6NOT2,5,8","6NOT2,5,9","6NOT3,5,8","6NOT3,5,9","8NOT2,5,6","9NOT2,5,6","8NOT3,5,6","9NOT3,5,6","Group"
"AG-409-N21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Cyano-Other"
"AG-409-O23",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cyano-Other"
"AG-409-P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Cyano-Other"
"AG-409-P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Cyano-Other"
"AG-410-N11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria-Other"
"AG-414-E02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Alpha-Pelagibacter"
"AG-422-B15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Alpha-Other"
"AG-422-E19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gamma-SAR86"
"AG-426-I14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Other"
"AG-426-M11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chloroflexota"
